Model Runner 运行  http://localhost:4000
API 端点：POST http://localhost:4000/chat
[health] ⚠️  ceotech degraded（连续1次失败）
GET /health
[health] 🔴 ceotech 熔断开启（连续2次失败）
[health] ⚠️  mytokenland degraded（连续1次失败）
[health] 🔴 ceotech 熔断开启（连续3次失败）
[health] ✅ mytokenland healthy
[health] 🔴 ceotech 熔断开启（连续4次失败）
[health] 🔴 ceotech 熔断开启（连续5次失败）
[health] 🔴 ceotech 熔断开启（连续6次失败）
[health] 🔴 ceotech 熔断开启（连续7次失败）
[health] 🔴 ceotech 熔断开启（连续8次失败）
[health] 🔴 ceotech 熔断开启（连续9次失败）
[health] 🔴 ceotech 熔断开启（连续10次失败）
[health] 🔴 ceotech 熔断开启（连续11次失败）
[health] 🔴 ceotech 熔断开启（连续12次失败）
[health] 🔴 ceotech 熔断开启（连续13次失败）
[health] 🔴 ceotech 熔断开启（连续14次失败）
[health] 🔴 ceotech 熔断开启（连续15次失败）
[health] 🔴 ceotech 熔断开启（连续16次失败）
[health] 🔴 ceotech 熔断开启（连续17次失败）
[health] 🔴 ceotech 熔断开启（连续18次失败）
[health] 🔴 ceotech 熔断开启（连续19次失败）
[health] 🔴 ceotech 熔断开启（连续20次失败）
[health] 🔴 ceotech 熔断开启（连续21次失败）
[health] 🔴 ceotech 熔断开启（连续22次失败）
[health] 🔴 ceotech 熔断开启（连续23次失败）
[health] 🔴 ceotech 熔断开启（连续24次失败）
[health] 🔴 ceotech 熔断开启（连续25次失败）
[health] 🔴 ceotech 熔断开启（连续26次失败）
[health] 🔴 ceotech 熔断开启（连续27次失败）
[health] 🔴 ceotech 熔断开启（连续28次失败）
[health] 🔴 ceotech 熔断开启（连续29次失败）
[health] 🔴 ceotech 熔断开启（连续30次失败）
[health] 🔴 ceotech 熔断开启（连续31次失败）
[health] 🔴 ceotech 熔断开启（连续32次失败）
[health] 🔴 ceotech 熔断开启（连续33次失败）
[health] 🔴 ceotech 熔断开启（连续34次失败）
[health] 🔴 ceotech 熔断开启（连续35次失败）
[health] 🔴 ceotech 熔断开启（连续36次失败）
[health] 🔴 ceotech 熔断开启（连续37次失败）
[health] 🔴 ceotech 熔断开启（连续38次失败）
[health] 🔴 ceotech 熔断开启（连续39次失败）
[health] 🔴 ceotech 熔断开启（连续40次失败）
[health] 🔴 ceotech 熔断开启（连续41次失败）
[health] 🔴 ceotech 熔断开启（连续42次失败）
[health] 🔴 ceotech 熔断开启（连续43次失败）
[health] 🔴 ceotech 熔断开启（连续44次失败）
[health] 🔴 ceotech 熔断开启（连续45次失败）
[health] 🔴 ceotech 熔断开启（连续46次失败）
[health] 🔴 ceotech 熔断开启（连续47次失败）
[health] 🔴 ceotech 熔断开启（连续48次失败）
[health] 🔴 ceotech 熔断开启（连续49次失败）
[health] 🔴 ceotech 熔断开启（连续50次失败）
[health] 🔴 ceotech 熔断开启（连续51次失败）
[health] 🔴 ceotech 熔断开启（连续52次失败）
[health] 🔴 ceotech 熔断开启（连续53次失败）
[health] 🔴 ceotech 熔断开启（连续54次失败）
[health] 🔴 ceotech 熔断开启（连续55次失败）
[health] 🔴 ceotech 熔断开启（连续56次失败）
[health] 🔴 ceotech 熔断开启（连续57次失败）
[health] 🔴 ceotech 熔断开启（连续58次失败）
[health] 🔴 ceotech 熔断开启（连续59次失败）
[health] 🔴 ceotech 熔断开启（连续60次失败）
[health] 🔴 ceotech 熔断开启（连续61次失败）
[health] 🔴 ceotech 熔断开启（连续62次失败）
[health] 🔴 ceotech 熔断开启（连续63次失败）
[health] 🔴 ceotech 熔断开启（连续64次失败）
[health] 🔴 ceotech 熔断开启（连续65次失败）
[health] 🔴 ceotech 熔断开启（连续66次失败）
[health] 🔴 ceotech 熔断开启（连续67次失败）
[health] 🔴 ceotech 熔断开启（连续68次失败）
[health] 🔴 ceotech 熔断开启（连续69次失败）
[health] 🔴 ceotech 熔断开启（连续70次失败）
[health] 🔴 ceotech 熔断开启（连续71次失败）
[health] 🔴 ceotech 熔断开启（连续72次失败）
[health] 🔴 ceotech 熔断开启（连续73次失败）
[health] 🔴 ceotech 熔断开启（连续74次失败）
[health] 🔴 ceotech 熔断开启（连续75次失败）
[health] 🔴 ceotech 熔断开启（连续76次失败）
[health] 🔴 ceotech 熔断开启（连续77次失败）
[health] 🔴 ceotech 熔断开启（连续78次失败）
[health] 🔴 ceotech 熔断开启（连续79次失败）
[health] 🔴 ceotech 熔断开启（连续80次失败）
[health] 🔴 ceotech 熔断开启（连续81次失败）
[health] 🔴 ceotech 熔断开启（连续82次失败）
[health] 🔴 ceotech 熔断开启（连续83次失败）
